contraction,expansion
g,tidak
ga,tidak
gak,tidak
gk,tidak
tdk,tidak
nggak,tidak
ngga,tidak
enggak,tidak
engga,tidak
kagak,tidak
kaga,tidak
kga,tidak
kgaa,tidak
ndak,tidak
nda,tidak
ora,tidak
tak,tidak
jg,juga
jga,juga
juge,juga
yg,yang
yng,yang
ygp,yang
bkn,bukan
bukn,bukan
udh,sudah
udah,sudah
sdh,sudah
dh,sudah
su,sudah
udeh,sudah
uda,sudah
krn,karena
karna,karena
krna,karena
dst,dan seterusnya
tp,tapi
tpi,tapi
tapii,tapi
tapiy,tapi
pi,tapi
dg,dengan
dgn,dengan
dngn,dengan
dgnn,dengan
dpt,dapat
dapet,dapat
dapett,dapat
dptnya,dapat
dlm,dalam
dalem,dalam
dlem,dalam
bgt,banget
bgtt,banget
banged,banget
bnget,banget
pake,banget
bangetz,banget
begete,banget
dr,dari
dri,dari
drpd,daripada
daripade,daripada
kl,kalau
klo,kalau
kalo,kalau
kalok,kalau
klu,kalau
nek,kalau
sbg,sebagai
sbgi,sebagai
sebage,sebagai
trus,terus
terus,terus
trs,terus
truss,terus
lg,lagi
lgi,lagi
lagii,lagi
lagih,lagi
ghiy,lagi
lgy,lagi
sy,saya
sya,saya
saia,saya
gw,saya
gua,saya
gue,saya
guwe,saya
ogut,saya
w,saya
awak,saya
km,kamu
kmu,kamu
kamu,kamu
kau,kamu
koe,kamu
lu,kamu
loe,kamu
elu,kamu
lo,kamu
anda,kamu
sampeyan,kamu
situ,kamu
dikau,kamu
tmn,teman
temen,teman
tmen,teman
konco,teman
kawan,teman
cs,teman
geng,teman
gengs,teman-teman
msh,masih
masi,masih
masii,masih
macih,masih
blm,belum
blom,belum
belom,belum
blum,belum
smg,semoga
moga,semoga
smoga,semoga
muga,semoga
mudah2an,semoga
mdh2an,semoga
spt,seperti
sprt,seperti
sprti,seperti
kek,seperti
kayak,seperti
kyk,seperti
ky,seperti
bagai,seperti
scr,secara
secarah,secara
thx,terima kasih
thanks,terima kasih
thankyou,terima kasih
makasih,terima kasih
mksh,terima kasih
mks,terima kasih
trim,terima kasih
trims,terima kasih
tq,terima kasih
tx,terima kasih
ty,terima kasih
maaci,terima kasih
nuwun,terima kasih
suwun,terima kasih
matur nuwun,terima kasih
wkt,waktu
wktu,waktu
bbrp,beberapa
bbrapa,beberapa
ku,aku
ak,aku
ako,aku
aq,aku
aqu,aku
ngak,tidak
ngestuck,stuck
terjebak,stuck
ngefreeze,stuck
nggamau,tidak mau
gamau,tidak mau
gakmau,tidak mau
tdk mau,tidak mau
mls,malas
males,malas
mager,malas gerak
bgs,bagus
bgus,bagus
baek,bagus
apik,bagus
sip,bagus
ok,bagus
oke,bagus
mantap,bagus
mantab,bagus
nice,bagus
good,bagus
gg,bagus
keren,bagus
kerenn,bagus
kce,keren
ml,mobile legend
mobel lejen,mobile legend
em el,mobile legend
x,kali
kali,kali
brp x,berapa kali
sekali,1 kali
2x,dua kali
3x,tiga kali
hp,handphone
henpon,handphone
hape,handphone
ponsel,handphone
lgs,langsung
lgsg,langsung
langsg,langsung
lansung,langsung
yasudah,ya sudah
yaudah,ya sudah
yowis,ya sudah
yws,ya sudah
ywd,ya sudah
yawdah,ya sudah
pdhl,padahal
pdahal,padahal
padahal,padahal
ngeleg,jaringan lambat
ngelag,jaringan lambat
ngelek,jaringan lambat
lag,jaringan lambat
lagging,jaringan lambat
patah2,jaringan lambat
patah-patah,jaringan lambat
lemot,lambat
lola,lambat
lambreta,lambat
xnya,kalinya
kalinya,kalinya
skil,kemampuan
skill,kemampuan
kamampuan,kemampuan
kebisaan,kemampuan
nggaada,tidak ada
gaada,tidak ada
gda,tidak ada
tak ada,tidak ada
gamenya,game
gim,game
permainannya,game
ranknya,peringkatnya
peringkat,peringkatnya
rank,peringkat
tinkatan,peringkatnya
knp,kenapa
kenafa,kenapa
napa,kenapa
ngapa,kenapa
kenape,kenapa
mengapa,kenapa
why,kenapa
pro,ahli
progamer,ahli
pakar,ahli
jago,ahli
master,ahli
suhu,ahli
walapun,walaupun
walau,walaupun
meskipun,walaupun
miskipun,walaupun
sm,sama
sama,sama
sma,sama
sesama,sama
gj,tidak jelas
gajelas,tidak jelas
gaje,tidak jelas
ga jelas,tidak jelas
gk jelas,tidak jelas
tdk jelas,tidak jelas
rak jelas,tidak jelas
gabisa,tidak bisa
gbs,tidak bisa
tak bisa,tidak bisa
gak bisa,tidak bisa
gk bisa,tidak bisa
tdk bisa,tidak bisa
ora iso,tidak bisa
raiso,tidak bisa
anj,anjing
ajg,anjing
anying,anjing
anjing,anjing
bajingan,anjing
bangsat,anjing
matching,pencocokan pemain
matchmaking,pencocokan pemain
nyari musuh,pencocokan pemain
nyari tim,pencocokan pemain
nyari lawan,pencocokan pemain
ngotak,berpikir
mikir,berpikir
mikerr,berpikir
pake otak,berpikir
ngasih,memberi
kasih,memberi
kasi,memberi
beri,memberi
ngasi,memberi
ngefeed,mainnya jelek
feeder,mainnya jelek
beban,mainnya jelek
mainnya ampas,mainnya jelek
mainnya jelek,mainnya jelek
mainnya buruk,mainnya jelek
mati mulu,mainnya jelek
lagg,jaringan lambat
pls,tolong
plis,tolong
pliss,tolong
tlng,tolong
tlg,tolong
tulung,tolong
ngetrol,merugikan tim
troll,merugikan tim
ngerjain tim,merugikan tim
ganggu tim,merugikan tim
ngeganggu,mengganggu
ganggu,mengganggu
gangguin,mengganggu
pas,saat
waktu,saat
ketika,saat
pasan,saat
ngerti,paham
paham,paham
mudeng,paham
ngertos,paham
tau,tahu
tahu,tahu
ngertiin,memahami
gtu,begitu
gitu,begitu
gituu,begitu
gituh,begitu
kek gitu,begitu
updatete,pembaruan
update,pembaruan
apdet,pembaruan
pembaruan,pembaruan
perbaruan,pembaruan
ngecit,curang
cheat,curang
curang,curang
pake cit,curang
pake cheat,curang
mabar,main bareng
maen bareng,main bareng
main bareng,main bareng
nambang,menambah
nambah,menambah
nambahi,menambah
tambah,menambah
tmbah,menambah
tmbh,menambah
abiezzz,sekali
abis,habis
abisss,habis
hbs,habis
bsa,bisa
biso,bisa
iso,bisa
isa,bisa
bole,boleh
boleh,boleh
kenging,boleh
loging,masuk
login,masuk
masuk,masuk
sign in,masuk
lumayanla,lumayan
lumayan,lumayan
lmyn,lumayan
lmyan,lumayan
mayan,lumayan
mayanlah,lumayan
seruuuu,seru
seru,seru
asik,seru
asek,seru
menyenangkan,seru
ae,saja
ajah,saja
aj,saja
aja,saja
akn,akan
akan,akan
bakal,akan
kan,akan
mo,mau
mau,mau
mao,mau
pengen,mau
pingin,mau
ingin,mau
ama,sama
ampe,sampai
sampe,sampai
smp,sampai
ancur,hancur
hancur,hancur
anjir,anjing
ap,apa
apaan,apa
ape,apa
aph,apa
apk,aplikasi
app,aplikasi
aps,aplikasi
ato,atau
or,atau
utk,untuk
tuk,untuk
buat,untuk
bwt,untuk
bt,untuk
banget,sekali
bangke,bangkai
banyakin,perbanyak
bazeng,bajingan
bc,baca
baca,baca
bct,bacot
bacot,banyak bicara
bdg,bandung
beb,sayang
sayang,sayang
yank,sayang
bejibun,banyak
bnyk,banyak
byk,banyak
buanyak,banyak
bener,benar
benar,benar
beneran,benar
bnran,benar
betul,benar
btul,benar
iyo,iya
ya,iya
iya,iya
hooh,iya
yoi,iya
yeah,iya
yes,iya
yup,iya
yups,iya
bentar,sebentar
bntar,sebentar
sbntar,sebentar
sebentar,sebentar
ber2,berdua
berdua,berdua
ber3,bertiga
bertiga,bertiga
ber4,berempat
berempat,berempat
ber5,berlima
berlima,berlima
bete,bosan
bosan,bosan
boring,bosan
bosen,bosan
bgts,banget
biar,agar
agar,agar
supaya,agar
spy,supaya
bijimane,bagaimana
gimana,bagaimana
gmn,bagaimana
gmana,bagaimana
bagaimana,bagaimana
kek mana,bagaimana
kyk mana,bagaimana
bikin,membuat
bilang,berkata
ngomong,berkata
ngmg,berkata
omong,berkata
bicara,berkata
ngobrol,berbicara
bilangin,memberitahu
kasih tau,memberitahu
kasi tau,memberitahu
bju,baju
pakaian,baju
bks,bekasi
bl,beli
beli,beli
blg,bilang
bln,bulan
bulan,bulan
bls,balas
balas,balas
reply,balas
rply,balas
bnci,benci
benci,benci
bokap,ayah
ayah,ayah
bapak,ayah
bokep,porno
boker,buang air besar
bab,buang air besar
pup,buang air besar
berak,buang air besar
bokis,bohong
bohong,bohong
ngibul,bohong
kibul,bohong
dusta,bohong
boljug,boleh juga
bonek,bocah nekat
boy,kakak
bro,kakak
kak,kakak
kakak,kakak
mas,kakak
mbak,kakak
bpng,bapak
bps,bapak
br,baru
baru,baru
anyar,baru
brg,bareng
bareng,bersama
brng,bareng
brsama,bersama
brngkt,berangkat
berangkat,pergi
budal,pergi
pergi,pergi
bru,baru
brur,saudara
saudara,saudara
sedulur,saudara
sodara,saudara
bsk,besok
besok,besok
esok,besok
btw,ngomong-ngomong
ngomong2,ngomong-ngomong
omong2,ngomong-ngomong
buaya,tidak setia
playboy,tidak setia
bubug,tidur
tidur,tidur
turu,tidur
bobok,tidur
byr,bayar
bayar,bayar
mbayar,bayar
cabs,cabut
cabut,pergi
cape,lelah
capek,lelah
lelah,lelah
caur,jelek
elek,jelek
jelek,jelek
cb,coba
cba,coba
coba,coba
nyoba,mencoba
mencoba,mencoba
cekak,tidak punya uang
bokek,tidak punya uang
kere,tidak punya uang
cemen,penakut
penakut,penakut
takut,takut
cepet,cepat
cepat,cepat
cepetan,cepat
segera,cepat
cew,cewek
cewek,perempuan
wanita,perempuan
perempuan,perempuan
cg,cantik ganteng
ciye,cie
cie,cie
ckp,cakep
cakep,tampan
ganteng,tampan
good looking,tampan
cukup,cukup
wes,cukup
clgn,calon
calon,calon
cm,cuma
cuma,hanya
cmn,cuma
hanya,hanya
tok,hanya
cmiiw,koreksi jika saya salah
cong,bocah
